year,n_days,n_valid,pct_valid,n_wet,n_dry,Rx1day,Rx5day,SDII,R10mm,R20mm,CDD,CWD,PRCPTOT,R95pTOT,R99pTOT
1966,243,243,100,0,243,0,0,NA,0,0,0,0,0,0,0
1967,366,366,100,3,363,30,55,18.333333333333332,3,1,0,0,55,30,0
1968,365,365,100,0,365,0,0,NA,0,0,0,0,0,0,0
1969,365,275,75.34246575342466,0,275,0,0,NA,0,0,0,0,0,0,0
1970,365,182,49.863013698630134,0,182,0,0,NA,0,0,0,0,0,0,0
1971,366,366,100,5,361,6,10,4,0,0,0,0,20,0,0
1972,365,365,100,9,356,9,9,4.222222222222222,0,0,0,0,38,0,0
1973,365,365,100,3,362,9,9,4.333333333333333,0,0,0,0,13,0,0
1974,365,365,100,7,358,20,30,10.428571428571429,4,1,0,0,73,0,0
1975,366,366,100,1,365,20,20,20,1,1,0,0,20,0,0
1976,365,365,100,3,362,11,11,6.833333333333333,1,0,0,0,20.5,0,0
1977,365,365,100,2,363,7,7,6,0,0,0,0,12,0,0
1978,365,365,100,2,363,25,25,21.5,2,1,0,0,43,0,0
1979,366,366,100,2,364,10.5,10.5,7.25,1,0,0,0,14.5,0,0
1980,365,243,66.57534246575342,7,236,27,27,13.928571428571429,5,2,0,0,97.5,27,0
1981,365,365,100,2,363,25,38,19,2,1,0,0,38,0,0
1982,365,365,100,1,364,19,19,19,1,0,0,0,19,0,0
1983,366,366,100,9,357,48,48,11.11111111111111,3,1,0,0,100,48,0
1984,365,334,91.5068493150685,1,333,10,10,10,1,0,0,0,10,0,0
1985,365,365,100,0,365,0,0,NA,0,0,0,0,0,0,0
1986,365,365,100,11,354,17.5,20,5.363636363636363,2,0,0,0,59,0,0
1987,366,366,100,6,360,60,85,18.75,3,2,0,0,112.5,60,60
1988,365,365,100,0,365,0,0,NA,0,0,0,0,0,0,0
1989,365,365,100,1,364,5,5,5,0,0,0,0,5,0,0
1990,365,365,100,2,363,8,8.5,4.25,0,0,0,0,8.5,0,0
1991,366,366,100,5,361,32,32,11.559999999999999,2,2,0,0,57.8,32,0
1992,365,365,100,5,360,17,17,9.1,2,0,0,0,45.5,0,0
1993,365,365,100,5,360,5.5,5.5,3.6399999999999997,0,0,0,0,18.2,0,0
1994,365,365,100,1,364,1.2,1.2,1.2,0,0,0,0,1.2,0,0
1995,366,366,100,2,364,16,19.5,9.75,1,0,0,0,19.5,0,0
1996,365,365,100,5,360,20.5,20.5,8.440000000000001,3,1,0,0,42.2,0,0
1997,365,365,100,7,358,50,50,18.571428571428573,4,2,0,0,130,88,50
1998,365,365,100,3,362,7,7,3.3333333333333335,0,0,0,0,10,0,0
1999,366,366,100,4,362,7,7,5,0,0,0,0,20,0,0
2000,365,365,100,8,357,10,10,5.8125,1,0,0,0,46.5,0,0
2001,365,365,100,3,362,5,5,3.1666666666666665,0,0,0,0,9.5,0,0
2002,365,365,100,11,354,16,26,6.909090909090909,3,0,0,0,76,0,0
2003,366,366,100,0,366,0,0,NA,0,0,0,0,0,0,0
2004,365,365,100,2,363,8,8,5.5,0,0,0,0,11,0,0
2005,365,365,100,6,359,11,11,5.333333333333333,1,0,0,0,32,0,0
2006,365,365,100,3,362,17,17,8.666666666666666,1,0,0,0,26,0,0
2007,366,335,91.53005464480874,5,330,10,10,4,1,0,0,0,20,0,0
2008,365,365,100,2,363,2,2,1.75,0,0,0,0,3.5,0,0
2009,365,365,100,2,363,6,6,4,0,0,0,0,8,0,0
2010,365,365,100,8,357,15,25,5.525,3,0,0,0,44.2,0,0
2011,366,366,100,4,362,25,40,11.75,2,1,0,0,47,0,0
2012,365,365,100,3,362,6,9,3.6666666666666665,0,0,0,0,11,0,0
2013,365,365,100,4,361,7,11,5.75,0,0,0,0,23,0,0
2014,365,365,100,7,358,30.5,86.1,14.885714285714286,5,2,0,0,104.2,30.5,0
2015,366,366,100,4,362,14,17,6.75,1,0,0,0,27,0,0
2016,365,330,90.41095890410959,14,316,1.9,3.4,0.7285714285714285,0,0,0,0,10.2,0,0
2017,365,334,91.5068493150685,11,323,25.8,46,5.372727272727273,2,1,0,0,59.1,25.8,0
2018,365,363,99.45205479452055,3,360,6.5,6.5,2.6666666666666665,0,0,0,0,8,0,0
2019,366,333,90.98360655737704,2,331,2,2,1.5,0,0,0,0,3,0,0
2020,365,272,74.52054794520548,0,272,0,0,NA,0,0,0,0,0,0,0
2021,365,273,74.79452054794521,4,269,2.79999995231628,2.79999995231628,0.9500000119209281,0,0,0,0,3.8000000476837124,0,0
2022,365,152,41.64383561643836,0,152,0,0,NA,0,0,0,0,0,0,0
2023,366,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,365,212,58.082191780821915,1,211,1.5,1.5,1.5,0,0,0,0,1.5,0,0
2025,61,61,100,0,61,0,0,NA,0,0,0,0,0,0,0
