"year_h","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
1970,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,0,0,0,0,0,3.5,0,2,0,0,0,0
1972,0,0,0,0,0,3,6.5,1.6,1.4,0,0,0
1973,0,0,0,0,0,8.5,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,2.6,0,0,0
1975,0,0,0,0,4,2,0,0,0,0,0,0
1976,0,0,0,0,8,0.2,0,0.1,0,0,0,0
1977,0,0,0,0,0,12.5,0,0,0,0,0,0
1978,0,0,0.5,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,3.5,0,0,32,1,0,0,0,0
1981,0,0,0,0,0,0,0,10,0,0,0,0
1982,0,0,0,0,0,0.6,0,0,1.5,0,0,0
1983,0,0,11,0,0,29,4,11.5,0.5,0,0,0
1984,0,0,0,0,0,4,17.7,0,0,0,0,0
1985,0,0,0,0,0,0,5.4,0.8,0,0,0,0
1986,0,0,3.5,0,5.5,0,0.4,4.5,0,0,0,0
1987,0.5,0,0,0,0.3,0,57.3,0,0,0,0,0
1988,0,0,0,0,1,0,0,0,1,0,0,0
1989,0,0,0,0,0,0,3,11.4,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,5,0,0,55.1,9.5,0,0,0,0,3.1
1992,NA,0,0,0.1,25.8,11.1,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0.5,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,1.5,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,76.7,0,72.2,0.8,0,0,0
1998,0,0,23,0,0,2.7,0,0,0,0,0,0
1999,0,0,0,0,0,0,NA,0,0,1,0,0
2000,0,0,0,0,7,23.5,5.5,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,1.5,1,0,5.3,20,0,0,0,0
2003,0,0,0,0,0,1.5,0,0,0,0,0,0
2004,0,0,0,0,0,0,8.9,0,0,0,0,0
2005,0,0,0,1.8,0,0,10.2,6.7,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0.5,0,0,0,0,0,0
2008,0,0,0,0,0,1,7,0,1.5,0,0,0
2009,0,0,0,0,0,0,4.3,0,0,0,0,0
2010,0,0,0,0,12.8,0,0,3.5,0,0,0,0
2011,0,0,0,0,0,0,42.3,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0.5,0,0,0
2013,0,0,0,0,2.1,0,2.5,0,0,0,0,0
2014,0,0.1,23.4,0,11.3,0,0.1,0.2,3.3,0.6,0,0
2015,0,0,0,0,0,0,23.2,2.3,0,0.6,0,0
2016,0,0,9.4,0,0,0,0,0,0,0,0,NA
2017,0,0,0,0,0,NA,NA,6.6,0,0,0,0
2018,0,0,0,0,0,0,0.4,0.2,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,NA
2021,0,0,0,0,0,15,0,18.8,0,0,0,0
2022,NA,NA,NA,0,0,NA,20.5,NA,0,0,0,0
2024,0,0,0,NA,NA,NA,NA,NA,0,0.200000000000003,0,0
2025,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
